"County","Sector","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","Total Usage"
"MODOC","Residential","      58.179355","      57.487482","      59.637589","      56.795692","      54.193089","      53.515557","      61.091845","      57.505292","      61.390099","      60.298730","      61.354571","      63.026113","      58.710808","      59.044041","      57.577305","      56.453333","      56.767659","      55.363948","      53.733110","      55.575865","      56.781566","      58.079964","      56.802300","      64.699111","      53.878076","      55.755366","      58.621914","      53.699222","      54.603130","      50.605452","    1721.227584"
"MONO","Residential","      93.671169","      84.827218","      90.458730","      84.825395","      78.939684","      87.692884","      98.881323","      93.723883","      95.707730","      94.306000","      90.996172","      92.544680","      97.762323","      83.811524","      94.847546","      92.486007","      88.217654","      86.703655","      86.207241","      91.895434","      84.916159","      88.989198","      81.892419","      81.123803","      81.678987","      85.462068","      85.942805","      81.819393","      84.602740","      85.017504","    2649.951328"
"MONTEREY","Residential","     698.094114","     679.580114","     681.518818","     684.845535","     680.620018","     684.290192","     722.432834","     728.447471","     732.634857","     733.989345","     731.046848","     731.179752","     741.587708","     728.542315","     715.487081","     724.955009","     707.438704","     693.573337","     684.045029","     720.998598","     724.200963","     680.139440","     654.768601","     634.604678","     623.044510","     622.894636","     622.102410","     606.054357","     630.038290","     607.814014","   20610.969578"
"NAPA","Residential","     375.248902","     360.842350","     370.936231","     361.639426","     362.486244","     364.662282","     374.770591","     374.240432","     374.639179","     376.324400","     381.474386","     378.978643","     377.571799","     386.608605","     370.241766","     363.241524","     354.819742","     340.496992","     325.803071","     349.180477","     345.187419","     334.236809","     324.287107","     316.360508","     305.372795","     296.203358","     305.106743","     297.002241","     291.156241","     290.617800","   10429.738063"
"NEVADA","Residential","     451.811590","     445.546337","     470.025148","     432.220086","     405.134013","     407.094148","     422.777662","     425.846458","     426.025833","     424.937029","     424.117881","     421.111632","     413.906031","     411.598073","     397.557325","     398.248625","     378.582346","     379.093481","     363.371126","     378.249161","     371.660248","     367.313438","     342.285867","     339.726176","     327.047146","     328.218954","     323.128959","     313.971178","     322.435572","     313.879857","   11626.921380"
"ORANGE","Residential","    6661.245595","    6837.743613","    6810.132383","    6701.053419","    6894.647623","    7032.734696","    6838.286644","    7069.653161","    6693.243142","    6609.278079","    6915.602285","    7138.305305","    6867.803953","    6851.090583","    6717.053806","    6611.743915","    6374.642705","    5989.082590","    5575.799680","    6362.084520","    5878.868083","    5884.504854","    5876.874363","    5618.981399","    5441.322577","    5463.243976","    5194.533200","    5493.876813","    5137.491215","    5120.565680","  188661.489857"
"PLACER","Residential","    1464.686335","    1410.253319","    1465.394370","    1399.894096","    1363.659086","    1370.790232","    1367.826796","    1383.241309","    1348.573866","    1332.131876","    1366.366414","    1360.497735","    1327.086591","    1334.479948","    1262.665823","    1215.313735","    1145.031726","    1054.980007","     979.277386","     976.120456","     928.232180","     878.626145","     844.243780","     823.587286","     757.250491","     746.608507","     728.522643","     711.086467","     702.322530","     680.960940","   33729.712075"
"PLUMAS","Residential","      95.271334","      92.880877","      98.283013","      96.515952","      90.900496","      98.122899","     101.183276","      97.580267","     101.331341","     102.003213","     103.274793","     103.610437","     103.560058","     103.447180","     102.503634","     101.277846","      96.153106","      96.899452","      92.753371","      92.930694","      94.676095","      93.749315","      90.033386","      88.417064","      86.200226","      88.051175","     116.951203","     107.747799","      89.257865","      88.269715","    2913.837082"
"RIVERSIDE","Residential","    7336.906907","    7632.837680","    7623.093449","    7160.303940","    7065.512428","    6763.139781","    6599.335387","    6672.551485","    6577.765360","    6336.303432","    6606.216782","    6772.256465","    6682.669022","    6902.348704","    5391.986644","    5018.687606","    5469.023535","    4832.820103","    4682.530494","    4908.388078","    4631.338818","    4405.222929","    4324.404946","    4263.842855","    4060.422590","    4026.994776","    3525.509250","    3625.502620","    3387.375972","    3381.206731","  166666.498769"
"SACRAMENTO","Residential","    4691.394529","    4697.670625","    5140.711079","    4764.493174","    4708.414804","    4708.098133","    4671.237204","    4672.736884","    4624.171246","    4519.797524","    4722.923195","    4708.470665","    4649.440614","    4761.059770","    4575.460578","    4422.286081","    4378.308857","    4102.198812","    4033.818882","    4140.894025","    3958.333237","    3983.266939","    3837.133047","    3865.501305","    3581.182311","    3694.817964","    3650.245317","    3634.599466","    3617.630125","    3625.074714","  129141.371106"
"SAN BENITO","Residential","     132.105804","     123.898399","     123.429321","     118.711171","     117.821053","     115.497509","     119.711875","     117.878506","     116.248314","     116.656055","     117.414796","     117.510263","     119.251012","     118.452625","     115.986472","     117.398444","     114.336575","     111.070475","     105.787842","     109.680197","     104.493261","      96.909250","      90.384096","      85.048890","      78.643154","      77.687541","      75.114599","      71.536465","      71.635891","      70.136148","    3170.436003"
"SAN BERNARDINO","Residential","    5054.326483","    5153.352369","    5156.794899","    4955.862118","    4921.765007","    4749.693016","    4684.068637","    4770.676829","    4716.121933","    4600.264544","    4796.746936","    4913.287822","    4785.465239","    4977.356980","    5241.942803","    5044.577708","    4251.079140","    3817.733496","    3717.427367","    3950.485414","    3631.979811","    3627.311783","    3553.100913","    3548.364224","    3429.884601","    3411.102400","    3797.836492","    3964.319884","    3773.015371","    3825.313313","  130821.257532"
"SAN DIEGO","Residential","    6673.931743","    6873.308583","    6880.141897","    6717.201656","    6859.123292","    6855.540414","    6805.264337","    6915.310289","    6691.870606","    6626.559663","    6790.487873","    6916.536482","    6751.298154","    6717.916216","    6327.821377","    6330.979359","    6043.283018","    5677.814044","    5494.491616","    5853.182674","    5840.593912","    5713.605691","    5530.367207","    5385.364689","    5213.745075","    5218.545736","    5062.419031","    5120.240950","    4879.208742","    5204.506395","  183970.660721"
